date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2008-01-15,Maize - Wholesale,100 KG,cereals and tubers,25.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2008-02-15,Maize - Wholesale,100 KG,cereals and tubers,27.5,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2008-03-15,Maize - Wholesale,100 KG,cereals and tubers,33.16,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2008-04-15,Maize - Wholesale,100 KG,cereals and tubers,39.5,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2008-05-15,Maize - Wholesale,100 KG,cereals and tubers,52.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2008-06-15,Maize - Wholesale,100 KG,cereals and tubers,51.3,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2008-07-15,Maize - Wholesale,100 KG,cereals and tubers,79.3,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2008-08-15,Maize - Wholesale,100 KG,cereals and tubers,85.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2008-09-15,Maize - Wholesale,100 KG,cereals and tubers,44.35,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2008-10-15,Maize - Wholesale,100 KG,cereals and tubers,38.55,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2008-11-15,Maize - Wholesale,100 KG,cereals and tubers,42.2,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
2008-12-15,Maize - Wholesale,100 KG,cereals and tubers,38.0,GHS,Ghana,Ashanti,1324,Kumasi,215,51,14,9,1,215_51_14_9,
